id,publication,state,code,col,row
92,New York Times 1,New York,NY,11,3
93,New York Times 1,Pennsylvania,PA,11,4
94,New York Times 1,Maryland,MD,11,5
95,New York Times 1,New Hampshire,NH,12,2
96,New York Times 1,Connecticut,CT,12,3
97,New York Times 1,New Jersey,NJ,12,4
98,New York Times 1,Delaware,DE,12,5
99,New York Times 1,Maine,ME,13,1
100,New York Times 1,Massachusetts,MA,13,2
101,New York Times 1,Rhode Island,RI,13,3
102,538,Washington,WA,3,3
103,538,Oregon,OR,3,4
104,538,California,CA,3,5
105,538,Hawaii,HI,3,8
106,538,Idaho,ID,4,3
107,538,Nevada,NV,4,4
108,538,Utah,UT,4,5
109,538,Arizona,AZ,4,6
110,538,Alaska,AK,4,8
111,538,Montana,MT,5,3
112,538,Wyoming,WY,5,4
113,538,Colorado,CO,5,5
114,538,New Mexico,NM,5,6
115,538,North Dakota,ND,6,3
116,538,South Dakota,SD,6,4
117,538,Nebraska,NE,6,5
118,538,Kansas,KS,6,6
119,538,Oklahoma,OK,6,7
120,538,Texas,TX,6,8
121,538,Minnesota,MN,7,3
122,538,Iowa,IA,7,4
123,538,Missouri,MO,7,5
124,538,Arkansas,AR,7,6
125,538,Louisiana,LA,7,7
126,538,Wisconsin,WI,8,2
127,538,Illinois,IL,8,3
128,538,Indiana,IN,8,4
129,538,Kentucky,KY,8,5
130,538,Tennessee,TN,8,6
131,538,Mississippi,MS,8,7
132,538,Michigan,MI,9,3
133,538,Ohio,OH,9,4
134,538,West Virginia,WV,9,5
135,538,North Carolina,NC,9,6
136,538,Alabama,AL,9,7
137,538,Florida,FL,9,8
138,538,Pennsylvania,PA,10,4
139,538,Virginia,VA,10,5
140,538,South Carolina,SC,10,6
141,538,Georgia,GA,10,7
142,538,New York,NY,11,3
143,538,New Jersey,NJ,11,4
144,538,Maryland,MD,11,5
145,538,Vermont,VT,12,2
146,538,Massachusetts,MA,12,3
147,538,Connecticut,CT,12,4
148,538,Delaware,DE,12,5
149,538,Maine,ME,13,1
150,538,New Hampshire,NH,13,2
151,538,Rhode Island,RI,13,4
152,NPR,Alaska,AK,2,1
153,NPR,Hawaii,HI,2,8
154,NPR,Washington,WA,3,3
155,NPR,Oregon,OR,3,4
156,NPR,California,CA,3,5
157,NPR,Idaho,ID,4,3
158,NPR,Nevada,NV,4,4
159,NPR,Utah,UT,4,5
160,NPR,Arizona,AZ,4,6
161,NPR,Montana,MT,5,3
162,NPR,Wyoming,WY,5,4
163,NPR,Colorado,CO,5,5
164,NPR,New Mexico,NM,5,6
165,NPR,North Dakota,ND,6,3
166,NPR,South Dakota,SD,6,4
167,NPR,Nebraska,NE,6,5
168,NPR,Kansas,KS,6,6
169,NPR,Oklahoma,OK,6,7
170,NPR,Texas,TX,6,8
171,NPR,Minnesota,MN,7,3
172,NPR,Iowa,IA,7,4
173,NPR,Missouri,MO,7,5
174,NPR,Arkansas,AR,7,6
175,NPR,Louisiana,LA,7,7
176,NPR,Illinois,IL,8,3
177,NPR,Indiana,IN,8,4
178,NPR,Kentucky,KY,8,5
179,NPR,Tennessee,TN,8,6
180,NPR,Mississippi,MS,8,7
181,NPR,Wisconsin,WI,9,3
182,NPR,Ohio,OH,9,4
183,NPR,West Virginia,WV,9,5
184,NPR,North Carolina,NC,9,6
185,NPR,Alabama,AL,9,7
186,NPR,Michigan,MI,10,3
187,NPR,Pennsylvania,PA,10,4
188,NPR,Virginia,VA,10,5
189,NPR,South Carolina,SC,10,6
190,NPR,Georgia,GA,10,7
191,NPR,New York,NY,11,3
192,NPR,New Jersey,NJ,11,4
193,NPR,Maryland,MD,11,5
194,NPR,DC,DC,11,6
195,NPR,Florida,FL,11,8
196,NPR,Vermont,VT,12,2
197,NPR,Rhode Island,RI,12,3
198,NPR,Connecticut,CT,12,4
199,NPR,Delaware,DE,12,5
200,NPR,Maine,ME,13,1
201,NPR,New Hampshire,NH,13,2
202,NPR,Massachusetts,MA,13,3
203,Propublica,Hawaii,HI,3,8
204,Propublica,Washington,WA,3,3
205,Propublica,Oregon,OR,3,4
206,Propublica,California,CA,3,5
207,Propublica,Alaska,AK,3,1
208,Propublica,Idaho,ID,4,3
209,Propublica,Nevada,NV,4,4
210,Propublica,Utah,UT,4,5
211,Propublica,Arizona,AZ,4,6
212,Propublica,Montana,MT,5,3
213,Propublica,Wyoming,WY,5,4
214,Propublica,Colorado,CO,5,5
215,Propublica,New Mexico,NM,5,6
216,Propublica,North Dakota,ND,6,3
217,Propublica,South Dakota,SD,6,4
218,Propublica,Nebraska,NE,6,5
219,Propublica,Kansas,KS,6,6
220,Propublica,Oklahoma,OK,6,7
221,Propublica,Texas,TX,6,8
222,Propublica,Minnesota,MN,7,2
223,Propublica,Wisconsin,WI,7,3
224,Propublica,Iowa,IA,7,4
225,Propublica,Missouri,MO,7,5
226,Propublica,Arkansas,AR,7,6
227,Propublica,Louisiana,LA,7,7
228,Propublica,Illinois,IL,8,3
229,Propublica,Indiana,IN,8,4
230,Propublica,Kentucky,KY,8,5
231,Propublica,Tennessee,TN,8,6
232,Propublica,Mississippi,MS,8,7
233,Propublica,Michigan,MI,9,3
234,Propublica,Ohio,OH,9,4
235,Propublica,West Virginia,WV,9,5
236,Propublica,North Carolina,NC,9,6
237,Propublica,Alabama,AL,9,7
238,Propublica,Pennsylvania,PA,10,4
239,Propublica,Virginia,VA,10,5
240,Propublica,South Carolina,SC,10,6
241,Propublica,Georgia,GA,10,7
242,Propublica,New York,NY,11,3
243,Propublica,New Jersey,NJ,11,4
244,Propublica,Maryland,MD,11,5
245,Propublica,Florida,FL,11,8
246,Propublica,Vermont,VT,12,2
247,Propublica,Massachusetts,MA,12,3
248,Propublica,Connecticut,CT,12,4
249,Propublica,Delaware,DE,12,5
250,Propublica,Maine,ME,13,1
251,Propublica,New Hampshire,NH,13,2
252,Propublica,Rhode Island,RI,13,4
253,Bloomberg 1,Alaska,AK,2,2
254,Bloomberg 1,Hawaii,HI,2,7
255,Bloomberg 1,Washington,WA,3,3
256,Bloomberg 1,Oregon,OR,3,4
257,Bloomberg 1,California,CA,3,5
258,Bloomberg 1,Idaho,ID,4,3
259,Bloomberg 1,Utah,UT,4,4
260,Bloomberg 1,Nevada,NV,4,5
261,Bloomberg 1,Arizona,AZ,4,6
262,Bloomberg 1,Montana,MT,5,3
263,Bloomberg 1,Wyoming,WY,5,4
264,Bloomberg 1,Colorado,CO,5,5
265,Bloomberg 1,New Mexico,NM,5,6
266,Bloomberg 1,North Dakota,ND,6,3
267,Bloomberg 1,South Dakota,SD,6,4
268,Bloomberg 1,Nebraska,NE,6,5
269,Bloomberg 1,Kansas,KS,6,6
270,Bloomberg 1,Oklahoma,OK,6,7
271,Bloomberg 1,Minnesota,MN,7,3
272,Bloomberg 1,Iowa,IA,7,4
273,Bloomberg 1,Missouri,MO,7,5
274,Bloomberg 1,Arkansas,AR,7,6
275,Bloomberg 1,Louisiana,LA,7,7
276,Bloomberg 1,Texas,TX,7,8
277,Bloomberg 1,Wisconsin,WI,8,3
278,Bloomberg 1,Illinois,IL,8,4
279,Bloomberg 1,Indiana,IN,8,5
280,Bloomberg 1,Kentucky,KY,8,6
281,Bloomberg 1,Mississippi,MS,8,7
282,Bloomberg 1,Michigan,MI,9,3
283,Bloomberg 1,Ohio,OH,9,4
284,Bloomberg 1,West Virginia,WV,9,5
285,Bloomberg 1,Tennessee,TN,9,6
286,Bloomberg 1,Alabama,AL,9,7
287,Bloomberg 1,Pennsylvania,PA,10,4
288,Bloomberg 1,Virginia,VA,10,5
289,Bloomberg 1,South Carolina,SC,10,6
290,Bloomberg 1,Georgia,GA,10,7
291,Bloomberg 1,New York,NY,11,3
292,Bloomberg 1,New Jersey,NJ,11,4
293,Bloomberg 1,Maryland,MD,11,5
294,Bloomberg 1,North Carolina,NC,11,6
295,Bloomberg 1,Florida,FL,11,8
296,Bloomberg 1,Vermont,VT,12,2
297,Bloomberg 1,Massachusetts,MA,12,3
298,Bloomberg 1,Connecticut,CT,12,4
299,Bloomberg 1,Delaware,DE,12,5
300,Bloomberg 1,Maine,ME,13,1
301,Bloomberg 1,New Hampshire,NH,13,2
302,Bloomberg 1,Rhode Island,RI,13,3
303,Marshall Project,Washington,WA,3,2
304,Marshall Project,Oregon,OR,3,3
305,Marshall Project,California,CA,3,4
306,Marshall Project,Alaska,AK,3,7
307,Marshall Project,Idaho,ID,4,2
308,Marshall Project,Nevada,NV,4,3
309,Marshall Project,Utah,UT,4,4
310,Marshall Project,Arizona,AZ,4,5
311,Marshall Project,Hawaii,HI,4,7
312,Marshall Project,Montana,MT,5,2
313,Marshall Project,Wyoming,WY,5,3
314,Marshall Project,Colorado,CO,5,4
315,Marshall Project,New Mexico,NM,5,5
316,Marshall Project,North Dakota,ND,6,2
317,Marshall Project,South Dakota,SD,6,3
318,Marshall Project,Nebraska,NE,6,4
319,Marshall Project,Kansas,KS,6,5
320,Marshall Project,Oklahoma,OK,6,6
321,Marshall Project,Texas,TX,6,7
322,Marshall Project,Minnesota,MN,7,2
323,Marshall Project,Iowa,IA,7,3
324,Marshall Project,Missouri,MO,7,4
325,Marshall Project,Arkansas,AR,7,5
326,Marshall Project,Louisiana,LA,7,6
327,Marshall Project,Wisconsin,WI,8,2
328,Marshall Project,Indiana,IN,8,3
329,Marshall Project,Illinois,IL,8,4
330,Marshall Project,Tennessee,TN,8,5
331,Marshall Project,Mississippi,MS,8,6
332,Marshall Project,Michigan,MI,9,2
333,Marshall Project,Ohio,OH,9,3
334,Marshall Project,Kentucky,KY,9,4
335,Marshall Project,West Virginia,WV,9,5
336,Marshall Project,Alabama,AL,9,6
337,Marshall Project,Pennsylvania,PA,10,3
338,Marshall Project,Maryland,MD,10,4
339,Marshall Project,Virginia,VA,10,5
340,Marshall Project,Georgia,GA,10,6
341,Marshall Project,Vermont,VT,11,2
342,Marshall Project,New York,NY,11,3
343,Marshall Project,Delaware,DE,11,4
344,Marshall Project,North Carolina,NC,11,5
345,Marshall Project,South Carolina,SC,11,6
346,Marshall Project,New Hampshire,NH,12,2
347,Marshall Project,Connecticut,CT,12,3
348,Marshall Project,New Jersey,NJ,12,4
349,Marshall Project,Florida,FL,12,7
350,Marshall Project,Maine,ME,13,1
351,Marshall Project,Massachusetts,MA,13,2
352,Marshall Project,Rhode Island,RI,13,3
353,Guardian,Hawaii,HI,1,8
354,Guardian,Alaska,AK,2,1
355,Guardian,Washington,WA,2,4
356,Guardian,Oregon,OR,2,5
357,Guardian,California,CA,2,6
358,Guardian,Idaho,ID,3,4
359,Guardian,Nevada,NV,3,5
360,Guardian,Utah,UT,3,6
361,Guardian,Arizona,AZ,3,7
362,Guardian,Montana,MT,4,4
363,Guardian,Wyoming,WY,4,5
364,Guardian,Colorado,CO,4,6
365,Guardian,New Mexico,NM,4,7
366,Guardian,North Dakota,ND,5,3
367,Guardian,South Dakota,SD,5,4
368,Guardian,Nebraska,NE,5,5
369,Guardian,Kansas,KS,5,6
370,Guardian,Oklahoma,OK,5,7
371,Guardian,Texas,TX,5,8
372,Guardian,Minnesota,MN,6,3
373,Guardian,Iowa,IA,6,4
374,Guardian,Missouri,MO,6,5
375,Guardian,Arkansas,AR,6,6
376,Guardian,Louisiana,LA,6,7
377,Guardian,Wisconsin,WI,7,4
378,Guardian,Illinois,IL,7,5
379,Guardian,Tennessee,TN,7,6
380,Guardian,Mississippi,MS,7,7
381,Guardian,Michigan,MI,8,4
382,Guardian,Indiana,IN,8,5
383,Guardian,Kentucky,KY,8,6
384,Guardian,Alabama,AL,8,7
385,Guardian,Ohio,OH,9,5
386,Guardian,West Virginia,WV,9,6
387,Guardian,Georgia,GA,9,7
388,Guardian,Florida,FL,9,8
389,Guardian,New York,NY,10,3
390,Guardian,Pennsylvania,PA,10,4
391,Guardian,Virginia,VA,10,5
392,Guardian,North Carolina,NC,10,6
393,Guardian,South Carolina,SC,10,7
394,Guardian,New Jersey,NJ,11,3
395,Guardian,Delaware,DE,11,4
396,Guardian,DC,DC,11,5
397,Guardian,Vermont,VT,12,2
398,Guardian,Massachusetts,MA,12,3
399,Guardian,Connecticut,CT,12,4
400,Guardian,Maryland,MD,12,5
401,Guardian,Maine,ME,13,1
402,Guardian,New Hampshire,NH,13,2
403,Guardian,Rhode Island,RI,13,3
404,National Journal,Alaska,AK,2,2
405,National Journal,California,CA,2,5
406,National Journal,Hawaii,HI,2,7
407,National Journal,Washington,WA,3,3
408,National Journal,Oregon,OR,3,4
409,National Journal,Nevada,NV,3,5
410,National Journal,Montana,MT,4,3
411,National Journal,Idaho,ID,4,4
412,National Journal,Utah,UT,4,5
413,National Journal,Arizona,AZ,4,6
414,National Journal,North Dakota,ND,5,3
415,National Journal,Wyoming,WY,5,4
416,National Journal,Colorado,CO,5,5
417,National Journal,New Mexico,NM,5,6
418,National Journal,Texas,TX,5,7
419,National Journal,South Dakota,SD,6,3
420,National Journal,Nebraska,NE,6,4
421,National Journal,Kansas,KS,6,5
422,National Journal,Oklahoma,OK,6,6
423,National Journal,Louisiana,LA,6,7
424,National Journal,Minnesota,MN,7,3
425,National Journal,Iowa,IA,7,4
426,National Journal,Missouri,MO,7,5
427,National Journal,Arkansas,AR,7,6
428,National Journal,Mississippi,MS,7,7
429,National Journal,Wisconsin,WI,8,3
430,National Journal,Illinois,IL,8,4
431,National Journal,Kentucky,KY,8,5
432,National Journal,Tennessee,TN,8,6
433,National Journal,Alabama,AL,8,7
434,National Journal,Michigan,MI,9,3
435,National Journal,Indiana,IN,9,4
436,National Journal,West Virginia,WV,9,5
437,National Journal,Virginia,VA,9,6
438,National Journal,Georgia,GA,9,7
439,National Journal,Florida,FL,9,8
440,National Journal,Ohio,OH,10,4
441,National Journal,DC,DC,10,5
442,National Journal,North Carolina,NC,10,6
443,National Journal,South Carolina,SC,10,7
444,National Journal,Vermont,VT,11,2
445,National Journal,New York,NY,11,3
446,National Journal,Pennsylvania,PA,11,4
447,National Journal,Maryland,MD,11,5
448,National Journal,New Hampshire,NH,12,2
449,National Journal,Connecticut,CT,12,3
450,National Journal,New Jersey,NJ,12,4
451,National Journal,Delaware,DE,12,5
452,National Journal,Maine,ME,13,1
453,National Journal,Massachusetts,MA,13,2
454,National Journal,Rhode Island,RI,13,3
455,Wall Street Journal,Alaska,AK,3,1
456,Wall Street Journal,Washington,WA,3,3
457,Wall Street Journal,Oregon,OR,3,4
458,Wall Street Journal,California,CA,3,5
459,Wall Street Journal,Hawaii,HI,3,8
460,Wall Street Journal,Idaho,ID,4,3
461,Wall Street Journal,Utah,UT,4,4
462,Wall Street Journal,Nevada,NV,4,5
463,Wall Street Journal,Arizona,AZ,4,6
464,Wall Street Journal,Montana,MT,5,3
465,Wall Street Journal,Wyoming,WY,5,4
466,Wall Street Journal,Colorado,CO,5,5
467,Wall Street Journal,New Mexico,NM,5,6
468,Wall Street Journal,North Dakota,ND,6,3
469,Wall Street Journal,South Dakota,SD,6,4
470,Wall Street Journal,Nebraska,NE,6,5
471,Wall Street Journal,Kansas,KS,6,6
472,Wall Street Journal,Oklahoma,OK,6,7
473,Wall Street Journal,Texas,TX,6,8
474,Wall Street Journal,Minnesota,MN,7,3
475,Wall Street Journal,Iowa,IA,7,4
476,Wall Street Journal,Missouri,MO,7,5
477,Wall Street Journal,Arkansas,AR,7,6
478,Wall Street Journal,Louisiana,LA,7,7
479,Wall Street Journal,Wisconsin,WI,8,4
480,Wall Street Journal,Illinois,IL,8,5
481,Wall Street Journal,Tennessee,TN,8,6
482,Wall Street Journal,Mississippi,MS,8,7
483,Wall Street Journal,Michigan,MI,9,3
484,Wall Street Journal,Indiana,IN,9,4
485,Wall Street Journal,Kentucky,KY,9,5
486,Wall Street Journal,North Carolina,NC,9,6
487,Wall Street Journal,Alabama,AL,9,7
488,Wall Street Journal,Ohio,OH,10,4
489,Wall Street Journal,West Virginia,WV,10,5
490,Wall Street Journal,South Carolina,SC,10,6
491,Wall Street Journal,Georgia,GA,10,7
492,Wall Street Journal,New York,NY,11,3
493,Wall Street Journal,Pennsylvania,PA,11,4
494,Wall Street Journal,Virginia,VA,11,5
495,Wall Street Journal,DC,DC,11,6
496,Wall Street Journal,Florida,FL,11,8
497,Wall Street Journal,Vermont,VT,12,2
498,Wall Street Journal,Massachusetts,MA,12,3
499,Wall Street Journal,New Jersey,NJ,12,4
500,Wall Street Journal,Maryland,MD,12,5
501,Wall Street Journal,Maine,ME,13,1
502,Wall Street Journal,New Hampshire,NH,13,2
503,Wall Street Journal,Rhode Island,RI,13,3
504,Wall Street Journal,Connecticut,CT,13,4
505,Wall Street Journal,Delaware,DE,13,5
506,WNYC,Alaska,AK,2,2
507,WNYC,Hawaii,HI,2,8
508,WNYC,Washington,WA,3,3
509,WNYC,Oregon,OR,3,4
510,WNYC,California,CA,3,5
511,WNYC,Idaho,ID,4,3
512,WNYC,Nevada,NV,4,4
513,WNYC,Utah,UT,4,5
514,WNYC,Arizona,AZ,4,6
515,WNYC,Montana,MT,5,3
516,WNYC,Wyoming,WY,5,4
517,WNYC,Colorado,CO,5,5
518,WNYC,New Mexico,NM,5,6
519,WNYC,North Dakota,ND,6,3
520,WNYC,South Dakota,SD,6,4
521,WNYC,Nebraska,NE,6,5
522,WNYC,Kansas,KS,6,6
523,WNYC,Oklahoma,OK,6,7
524,WNYC,Texas,TX,6,8
525,WNYC,Minnesota,MN,7,3
526,WNYC,Iowa,IA,7,4
527,WNYC,Missouri,MO,7,5
528,WNYC,Arkansas,AR,7,6
529,WNYC,Louisiana,LA,7,7
530,WNYC,Wisconsin,WI,8,3
531,WNYC,Indiana,IN,8,4
532,WNYC,Illinois,IL,8,5
533,WNYC,Tennessee,TN,8,6
534,WNYC,Mississippi,MS,8,7
535,WNYC,Michigan,MI,9,3
536,WNYC,Ohio,OH,9,4
537,WNYC,Kentucky,KY,9,5
538,WNYC,West Virginia,WV,9,6
539,WNYC,Alabama,AL,9,7
540,WNYC,Pennsylvania,PA,10,4
541,WNYC,Maryland,MD,10,5
542,WNYC,Virginia,VA,10,6
543,WNYC,Georgia,GA,10,7
544,WNYC,Vermont,VT,11,2
545,WNYC,New York,NY,11,3
546,WNYC,Delaware,DE,11,4
547,WNYC,North Carolina,NC,11,5
548,WNYC,South Carolina,SC,11,6
549,WNYC,Florida,FL,11,7
550,WNYC,New Hampshire,NH,12,2
551,WNYC,Connecticut,CT,12,3
552,WNYC,New Jersey,NJ,12,4
553,WNYC,Maine,ME,13,1
554,WNYC,Massachusetts,MA,13,2
555,WNYC,Rhode Island,RI,13,3
556,WNYC,DC,DC,13,6
557,Axios,Alaska,AK,4,8
558,Axios,Washington,WA,3,3
559,Axios,Oregon,OR,3,4
560,Axios,California,CA,3,5
561,Axios,Hawaii,HI,3,8
562,Axios,Idaho,ID,4,3
563,Axios,Nevada,NV,4,4
564,Axios,Utah,UT,4,5
565,Axios,Arizona,AZ,4,6
566,Axios,Montana,MT,5,3
567,Axios,Wyoming,WY,5,4
568,Axios,Colorado,CO,5,5
569,Axios,New Mexico,NM,5,6
570,Axios,North Dakota,ND,6,3
571,Axios,South Dakota,SD,6,4
572,Axios,Nebraska,NE,6,5
573,Axios,Kansas,KS,6,6
574,Axios,Oklahoma,OK,6,7
575,Axios,Texas,TX,6,8
576,Axios,Minnesota,MN,7,3
577,Axios,Iowa,IA,7,4
578,Axios,Missouri,MO,7,5
579,Axios,Arkansas,AR,7,6
580,Axios,Louisiana,LA,7,7
581,Axios,Wisconsin,WI,8,2
582,Axios,Illinois,IL,8,3
583,Axios,Indiana,IN,8,4
584,Axios,Kentucky,KY,8,5
585,Axios,Tennessee,TN,8,6
586,Axios,Mississippi,MS,8,7
587,Axios,Michigan,MI,9,3
588,Axios,Ohio,OH,9,4
589,Axios,West Virginia,WV,9,5
590,Axios,North Carolina,NC,9,6
591,Axios,Alabama,AL,9,7
592,Axios,Pennsylvania,PA,10,4
593,Axios,Virginia,VA,10,5
594,Axios,South Carolina,SC,10,6
595,Axios,Georgia,GA,10,7
596,Axios,New York,NY,11,3
597,Axios,New Jersey,NJ,11,4
598,Axios,Maryland,MD,11,5
599,Axios,Florida,FL,11,8
600,Axios,Vermont,VT,12,2
601,Axios,Massachusetts,MA,12,3
602,Axios,Connecticut,CT,12,4
603,Axios,Delaware,DE,12,5
604,Axios,Maine,ME,13,1
605,Axios,New Hampshire,NH,13,2
606,Axios,Rhode Island,RI,13,4
607,Axios,DC,DC,13,6
608,Bloomberg 2,Alaska,AK,2,2
609,Bloomberg 2,Hawaii,HI,2,8
610,Bloomberg 2,Washington,WA,3,3
611,Bloomberg 2,Oregon,OR,3,4
612,Bloomberg 2,California,CA,3,5
613,Bloomberg 2,Idaho,ID,4,3
614,Bloomberg 2,Utah,UT,4,4
615,Bloomberg 2,Nevada,NV,4,5
616,Bloomberg 2,Arizona,AZ,4,6
617,Bloomberg 2,Montana,MT,5,3
618,Bloomberg 2,Wyoming,WY,5,4
619,Bloomberg 2,Colorado,CO,5,5
620,Bloomberg 2,New Mexico,NM,5,6
621,Bloomberg 2,North Dakota,ND,6,3
622,Bloomberg 2,South Dakota,SD,6,4
623,Bloomberg 2,Nebraska,NE,6,5
624,Bloomberg 2,Kansas,KS,6,6
625,Bloomberg 2,Oklahoma,OK,6,7
626,Bloomberg 2,Minnesota,MN,7,3
627,Bloomberg 2,Iowa,IA,7,4
628,Bloomberg 2,Missouri,MO,7,5
629,Bloomberg 2,Arkansas,AR,7,6
630,Bloomberg 2,Louisiana,LA,7,7
631,Bloomberg 2,Texas,TX,6,8
632,Bloomberg 2,Wisconsin,WI,8,2
633,Bloomberg 2,Illinois,IL,8,3
634,Bloomberg 2,Indiana,IN,8,4
635,Bloomberg 2,Kentucky,KY,8,5
636,Bloomberg 2,Mississippi,MS,8,7
637,Bloomberg 2,Michigan,MI,9,3
638,Bloomberg 2,Ohio,OH,9,4
639,Bloomberg 2,West Virginia,WV,9,5
640,Bloomberg 2,Tennessee,TN,8,6
641,Bloomberg 2,Alabama,AL,9,7
642,Bloomberg 2,Pennsylvania,PA,10,4
643,Bloomberg 2,Virginia,VA,10,5
644,Bloomberg 2,South Carolina,SC,9,6
645,Bloomberg 2,Georgia,GA,10,7
646,Bloomberg 2,New York,NY,11,3
647,Bloomberg 2,New Jersey,NJ,11,4
648,Bloomberg 2,Maryland,MD,11,5
649,Bloomberg 2,North Carolina,NC,10,6
650,Bloomberg 2,Florida,FL,11,8
651,Bloomberg 2,Vermont,VT,12,2
652,Bloomberg 2,Massachusetts,MA,12,3
653,Bloomberg 2,Connecticut,CT,12,4
654,Bloomberg 2,Delaware,DE,12,5
655,Bloomberg 2,Maine,ME,13,1
656,Bloomberg 2,New Hampshire,NH,13,2
657,Bloomberg 2,Rhode Island,RI,13,3
658,Bloomberg 2,DC,DC,11,6
659,Bloomberg 3,Alaska,AK,2,2
660,Bloomberg 3,California,CA,3,5
661,Bloomberg 3,Hawaii,HI,2,7
662,Bloomberg 3,Washington,WA,3,3
663,Bloomberg 3,Oregon,OR,3,4
664,Bloomberg 3,Nevada,NV,4,5
665,Bloomberg 3,Montana,MT,5,3
666,Bloomberg 3,Idaho,ID,4,3
667,Bloomberg 3,Utah,UT,4,4
668,Bloomberg 3,Arizona,AZ,4,6
669,Bloomberg 3,North Dakota,ND,6,3
670,Bloomberg 3,Wyoming,WY,5,4
671,Bloomberg 3,Colorado,CO,5,5
672,Bloomberg 3,New Mexico,NM,5,6
673,Bloomberg 3,Texas,TX,7,8
674,Bloomberg 3,South Dakota,SD,6,4
675,Bloomberg 3,Nebraska,NE,6,5
676,Bloomberg 3,Kansas,KS,6,6
677,Bloomberg 3,Oklahoma,OK,6,7
678,Bloomberg 3,Louisiana,LA,7,7
679,Bloomberg 3,Minnesota,MN,7,3
680,Bloomberg 3,Iowa,IA,7,4
681,Bloomberg 3,Missouri,MO,7,5
682,Bloomberg 3,Arkansas,AR,7,6
683,Bloomberg 3,Mississippi,MS,8,7
684,Bloomberg 3,Wisconsin,WI,8,3
685,Bloomberg 3,Illinois,IL,8,4
